"payout_id","effective_at","currency","gross","fee","net","reporting_category","balance_transaction_id","description","payout_expected_arrival_date","payout_status"
"po_1SP3hzKnAv1jsaW0FLsQvkEe","2025-11-03 16:00:00","hkd","275.20","0.00","275.20","payout","txn_1SP3hzKnAv1jsaW0bWcgWBCG","STRIPE PAYOUT","2025-11-04 00:00:00","paid"
"po_1SQ98hKnAv1jsaW06OkQISZR","2025-11-06 16:00:00","hkd","92.18","0.00","92.18","payout","txn_1SQ98iKnAv1jsaW0wVvpz5pA","STRIPE PAYOUT","2025-11-07 00:00:00","paid"
"po_1SQs5UKnAv1jsaW0I9jCAnN8","2025-11-08 16:00:00","hkd","280.41","0.00","280.41","payout","txn_1SQs5WKnAv1jsaW09DOAEkJ2","STRIPE PAYOUT","2025-11-10 00:00:00","paid"
"po_1SRxWIKnAv1jsaW0oXfQ47D3","2025-11-11 16:00:00","hkd","921.14","0.00","921.14","payout","txn_1SRxWJKnAv1jsaW0J4aSDo3H","STRIPE PAYOUT","2025-11-12 00:00:00","paid"
"po_1STlttKnAv1jsaW0qjEnvojW","2025-11-16 16:00:00","hkd","500.21","0.00","500.21","payout","txn_1STltvKnAv1jsaW05fZ2s0FX","STRIPE PAYOUT","2025-11-17 00:00:00","paid"
"po_1SU8ODKnAv1jsaW0UnjSuMMp","2025-11-17 16:00:00","hkd","938.89","0.00","938.89","payout","txn_1SU8OEKnAv1jsaW0W8CsgN1Y","STRIPE PAYOUT","2025-11-18 00:00:00","paid"
"po_1SUUrJKnAv1jsaW01jdZMiZJ","2025-11-18 16:00:00","hkd","592.33","0.00","592.33","payout","txn_1SUUrKKnAv1jsaW04aVsZChA","STRIPE PAYOUT","2025-11-19 00:00:00","paid"
"po_1SUrKdKnAv1jsaW0Ui7d7q6J","2025-11-19 16:00:00","hkd","467.36","0.00","467.36","payout","txn_1SUrKeKnAv1jsaW0O4eLsn5m","STRIPE PAYOUT","2025-11-20 00:00:00","paid"
"po_1SVDoJKnAv1jsaW0uLNSoKMA","2025-11-20 16:00:00","hkd","1.79","0.00","1.79","payout","txn_1SVDoJKnAv1jsaW0UAFJ9pAe","STRIPE PAYOUT","2025-11-21 00:00:00","paid"
"po_1SX2BoKnAv1jsaW0Xashb7Wy","2025-11-25 16:00:00","hkd","4287.06","0.00","4287.06","payout","txn_1SX2BqKnAv1jsaW0DwqjAvZD","STRIPE PAYOUT","2025-11-26 00:00:00","paid"
