"balance_transaction_id","created","available_on","currency","gross","fee","net","reporting_category","description"
"txn_3NQojAHOMTu9eLVo0E3Xt9fK","2023-07-06 17:44:15","2023-07-13 00:00:00","hkd","4.23","2.49","1.74","charge",
"txn_3NQojAHOMTu9eLVo02vc9PqR","2023-07-06 17:45:08","2023-07-13 00:00:00","hkd","-4.23","0.00","-4.23","refund","REFUND FOR CHARGE"
"txn_3NQoyoHOMTu9eLVo15MfTD3H","2023-07-06 18:00:19","2023-07-13 00:00:00","hkd","4.23","2.49","1.74","charge",
"txn_3NQoyoHOMTu9eLVo1RxPmt06","2023-07-06 18:01:00","2023-07-13 00:00:00","hkd","-4.23","0.00","-4.23","refund","REFUND FOR CHARGE"
"txn_3NRAbzHOMTu9eLVo0iH5s2Nd","2023-07-07 17:06:16","2023-07-14 00:00:00","hkd","4.23","2.49","1.74","charge",
"txn_3NRAbzHOMTu9eLVo0RWqpZFy","2023-07-07 17:12:28","2023-07-14 00:00:00","hkd","-4.23","0.00","-4.23","refund","REFUND FOR CHARGE"
"txn_3NRBVDHOMTu9eLVo1YJPoKJ2","2023-07-07 18:03:18","2023-07-14 00:00:00","hkd","4.23","2.49","1.74","charge",
"txn_3NRBVDHOMTu9eLVo1Mcbewig","2023-07-07 18:06:19","2023-07-14 00:00:00","hkd","-4.23","0.00","-4.23","refund","REFUND FOR CHARGE"
"txn_3NRBfdHOMTu9eLVo17qXPs6r","2023-07-07 18:14:08","2023-07-14 00:00:00","hkd","4.23","2.49","1.74","charge",
"txn_3NRBfdHOMTu9eLVo1wNtgSNl","2023-07-07 18:15:20","2023-07-14 00:00:00","hkd","-4.23","0.00","-4.23","refund","REFUND FOR CHARGE"
"txn_3NXIHyHOMTu9eLVo0DTsuRKA","2023-07-24 14:30:52","2023-07-31 00:00:00","hkd","4.26","2.49","1.77","charge",
"txn_3NXIHyHOMTu9eLVo00DXFrzL","2023-07-24 14:35:07","2023-07-31 00:00:00","hkd","-4.26","0.00","-4.26","refund","REFUND FOR CHARGE"
"txn_3NXL41HOMTu9eLVo0u7xDr5w","2023-07-24 17:28:36","2023-07-31 00:00:00","hkd","4.26","2.49","1.77","charge",
"txn_3NXL41HOMTu9eLVo0ZQpq08K","2023-07-24 17:41:53","2023-07-31 00:00:00","hkd","-4.26","0.00","-4.26","refund","REFUND FOR CHARGE"
"txn_3NXfuyHOMTu9eLVo1yQwM0f9","2023-07-25 15:44:43","2023-08-01 00:00:00","hkd","4.26","2.49","1.77","charge",
"txn_3NXfuyHOMTu9eLVo1UIdzP9H","2023-07-25 15:46:33","2023-08-01 00:00:00","hkd","-4.26","0.00","-4.26","refund","REFUND FOR CHARGE"
"txn_3NXiSYHOMTu9eLVo0jAhsQx9","2023-07-25 18:27:34","2023-08-01 00:00:00","hkd","4.26","2.49","1.77","charge",
